No,Kode,Nama Perusahaan,Tahun,X1_KepInstitusional,X2_KomiteAudit,X3_DewanKomInd,X4_KeberagamanGender,X5_KepManajerial,Y_ETR
115,SDPC,Millennium Pharmacon Internati,2022,0.9254217104,2.0,0.6666666667,0.0,0.0,0.329092672
116,SDPC,Millennium Pharmacon Internati,2023,0.8969389199,4.0,0.6,0.0,0.0,0.3102445366
117,SDPC,Millennium Pharmacon Internati,2024,0.8837357802,4.0,0.6,0.0,0.0,0.3892868158
118,SGRO,Sampoerna Agro Tbk.,2022,0.9356166372,3.0,0.6666666667,0.0,0.0,0.2596765474
119,SGRO,Sampoerna Agro Tbk.,2023,0.945799072,3.0,0.6666666667,0.0,0.0,0.3892868158
120,SGRO,Sampoerna Agro Tbk.,2024,0.9500415699,3.0,0.6666666667,0.0,0.0,0.3470504257
121,SIMP,Salim Ivomas Pratama Tbk.,2022,0.8758,3.0,0.3333333333,0.1111111111,5.93498e-05,0.3702070016
122,SIMP,Salim Ivomas Pratama Tbk.,2023,0.8743,3.0,0.3333333333,0.1111111111,5.93498e-05,0.3770351196
123,SIMP,Salim Ivomas Pratama Tbk.,2024,0.8736,3.0,0.3333333333,0.0909090909,5.93498e-05,0.2684844481
124,SKLT,Sekar Laut Tbk.,2022,0.9776838046,3.0,0.3333333333,0.2,0.005296151,0.1901159904
125,SKLT,Sekar Laut Tbk.,2023,0.9819441889,3.0,0.3333333333,0.2,0.0054079513,0.22
126,SKLT,Sekar Laut Tbk.,2024,0.9813431383,3.0,0.3333333333,0.2,0.0054079513,0.2255221834
127,SMAR,Smart Tbk.,2022,0.923996832,3.0,0.4285714286,0.0,0.0,0.1911578818
128,SMAR,Smart Tbk.,2023,0.923996832,3.0,0.4285714286,0.0,0.0,0.1722593666
129,SMAR,Smart Tbk.,2024,0.923996832,3.0,0.4285714286,0.1666666667,0.0,0.1937459712
130,SSMS,Sawit Sumbermas Sarana Tbk.,2022,0.641576673,3.0,0.3333333333,0.0,6.2992e-06,0.1878421784
131,SSMS,Sawit Sumbermas Sarana Tbk.,2023,0.7085371549,3.0,0.3333333333,0.0,1.5748e-05,0.3769358338
132,SSMS,Sawit Sumbermas Sarana Tbk.,2024,0.7035304819,3.0,0.3333333333,0.0,0.0,0.3110764956
133,STTP,Siantar Top Tbk.,2022,0.6353971756,3.0,0.5,0.0,0.0,0.1746998887
134,STTP,Siantar Top Tbk.,2023,0.6353743511,3.0,0.5,0.0,0.0318708397,0.1678494568
135,STTP,Siantar Top Tbk.,2024,0.6353431298,3.0,0.5,0.0,0.0318708397,0.1678494568
136,TAPG,Triputra Agro Persada Tbk.,2022,0.8657078691,3.0,0.375,0.2,0.0058982176,0.1678494568
137,TAPG,Triputra Agro Persada Tbk.,2023,0.8670394267,3.0,0.375,0.2,0.0072297751,0.1678494568
138,TAPG,Triputra Agro Persada Tbk.,2024,0.8309791861,3.0,0.4285714286,0.2,0.0084684579,0.1747699969
139,TBLA,Tunas Baru Lampung Tbk.,2022,0.5522764714,3.0,0.3333333333,0.1428571429,0.0,0.2145193949
