Kode,Nama Perusahaan,Tahun,Saham Institusional,Saham Beredar,X1,Total Komite Audit (X2),Jml Komisaris Independen,Total Dewan Komisaris,X3,Direksi Perempuan,Total Direksi,X4,Saham Manajemen,Saham Beredar (KM),X5,Beban Pajak,Laba Sebelum Pajak,Y
GZCO,Gozco Plantations Tbk.,2024,3893343500.0,6000000000.0,0.6488905833333334,3,1.0,3.0,0.3333333333333333,0.0,4.0,0.0,1600461100.0,6000000000.0,0.2667435166666667,18561000000.0,80971000000.0,0.22923021822627854
HMSP,H.M. Sampoerna Tbk.,2022,110925087423.0,116318076900.0,0.9536358438797401,3,2.0,4.0,0.5,3.0,7.0,0.5,0.0,116318076900.0,0.0,1949315000000.0,8273059000000.0,0.23562203533179202
HMSP,H.M. Sampoerna Tbk.,2023,110919238399.0,116318076900.0,0.9535855591419256,3,2.0,4.0,0.5,1.0,7.0,0.14285714285714285,0.0,116318076900.0,0.0,2214402000000.0,10311213000000.0,0.21475669254432045
HMSP,H.M. Sampoerna Tbk.,2024,110554865578.0,116318076900.0,0.9504530037325608,3,2.0,4.0,0.5,1.0,8.0,0.125,0.0,116318076900.0,0.0,2039843000000.0,8685617000000.0,0.23485297590257548
ICBP,Indofood CBP Sukses Makmur Tbk,2022,9391678000.0,11661908000.0,0.8053294538080733,3,3.0,6.0,0.5,1.0,16.0,0.0625,0.0,11661908000.0,0.0,1803191000000.0,7525385000000.0,0.2396144516194188
ICBP,Indofood CBP Sukses Makmur Tbk,2023,9391678000.0,11661908000.0,0.8053294538080733,3,3.0,6.0,0.5,0.0,16.0,0.0,0.0,11661908000.0,0.0,2979570000000.0,11444693000000.0,0.26034512240739005
ICBP,Indofood CBP Sukses Makmur Tbk,2024,9391678000.0,11661908000.0,0.8053294538080733,3,3.0,6.0,0.5,0.0,17.0,0.0,0.0,11661908000.0,0.0,2685960000000.0,11499337000000.0,0.23357520524878955
INDF,Indofood Sukses Makmur Tbk.,2022,8481013956.0,8780426500.0,0.9658999999601386,3,3.0,8.0,0.375,2.0,19.0,0.10526315789473684,1380020.0,8780426500.0,0.0001571700417969446,3126196000000.0,12318765000000.0,0.25377511463202684
INDF,Indofood Sukses Makmur Tbk.,2023,8301015213.0,8780426500.0,0.945399999988611,3,3.0,8.0,0.375,2.0,19.0,0.10526315789473684,1380020.0,8780426500.0,0.0001571700417969446,4121651000000.0,15615384000000.0,0.2639481039979548
INDF,Indofood Sukses Makmur Tbk.,2024,8474867658.0,8780426500.0,0.965200000022778,3,3.0,8.0,0.375,2.0,19.0,0.10526315789473684,1380020.0,8780426500.0,0.0001571700417969446,3962286000000.0,17039782000000.0,0.23253149600153336
ITIC,Indonesian Tobacco Tbk.,2022,66000000.0,940720000.0,0.07015902712815715,3,1.0,2.0,0.5,1.0,4.0,0.25,600660000.0,940720000.0,0.638510927799983,8327507522.0,32279830698.0,0.25797866165747757
ITIC,Indonesian Tobacco Tbk.,2023,66000000.0,940720000.0,0.07015902712815715,3,1.0,2.0,0.5,1.0,4.0,0.25,610428100.0,940720000.0,0.6488945701165065,9254462122.0,36218089397.0,0.25552043953943526
ITIC,Indonesian Tobacco Tbk.,2024,66000000.0,940720000.0,0.07015902712815715,3,1.0,2.0,0.5,1.0,4.0,0.25,636560100.0,940720000.0,0.6766732927970065,8143567946.0,29384812158.0,0.27713527322252823
JPFA,Japfa Comfeed Indonesia Tbk.,2022,10545822425.0,11726575201.0,0.8993096658008631,3,2.0,4.0,0.5,0.0,5.0,0.0,2984800.0,11726575201.0,0.00025453296881987054,463598000000.0,1954529000000.0,0.2371916712415114
JPFA,Japfa Comfeed Indonesia Tbk.,2023,10520020188.0,11726575201.0,0.8971093441760294,3,2.0,4.0,0.5,0.0,5.0,0.0,2751400.0,11726575201.0,0.00023462945939794685,315315000000.0,1261237000000.0,0.25000455901626734
JPFA,Japfa Comfeed Indonesia Tbk.,2024,10929265207.0,11726575201.0,0.9320082820146833,3,2.0,4.0,0.5,0.0,5.0,0.0,2491400.0,11726575201.0,0.00021245759800248774,1029134000000.0,4241472000000.0,0.24263604710817377
KEJU,Mulia Boga Raya Tbk.,2022,1359126600.0,1500000000.0,0.9060844,3,1.0,3.0,0.3333333333333333,0.0,6.0,0.0,0.0,1500000000.0,0.0,33019161585.0,150389911968.0,0.21955702448995265
KEJU,Mulia Boga Raya Tbk.,2023,1359144300.0,1500000000.0,0.9060962,3,2.0,6.0,0.3333333333333333,0.0,3.0,0.0,4805900.0,1500000000.0,0.0032039333333333335,22638254124.0,102980669381.0,0.21983013181090055
KEJU,Mulia Boga Raya Tbk.,2024,1359474700.0,1500000000.0,0.9063164666666667,3,2.0,6.0,0.3333333333333333,0.0,4.0,0.0,7942400.0,1500000000.0,0.005294933333333333,39115890080.0,185996427344.0,0.21030452379418688
KMDS,Kurniamitra Duta Sentosa Tbk.,2022,609523811.0,800000000.0,0.76190476375,3,1.0,2.0,0.5,1.0,4.0,0.25,22425407.0,800000000.0,0.02803175875,13246909390.0,61240255109.0,0.21631048672841346
KMDS,Kurniamitra Duta Sentosa Tbk.,2023,609523811.0,800000000.0,0.76190476375,3,1.0,2.0,0.5,1.0,4.0,0.25,22425407.0,800000000.0,0.02803175875,13794734870.0,65034627432.0,0.21211369103980385
KMDS,Kurniamitra Duta Sentosa Tbk.,2024,609523811.0,800000000.0,0.76190476375,3,1.0,3.0,0.3333333333333333,1.0,5.0,0.2,22425407.0,800000000.0,0.02803175875,14613524014.0,69494992663.0,0.2102816829532586
LSIP,PP London Sumatra Indonesia Tb,2022,4065995310.0,6819963965.0,0.5961901457055573,3,2.0,5.0,0.4,1.0,9.0,0.1111111111111111,212000.0,6819963965.0,3.108520823394116e-05,248240000000.0,1283525000000.0,0.193404881089188
LSIP,PP London Sumatra Indonesia Tb,2023,4065995310.0,6819963965.0,0.5961901457055573,3,2.0,5.0,0.4,1.0,9.0,0.1111111111111111,212000.0,6819963965.0,3.108520823394116e-05,150753000000.0,911426000000.0,0.16540344471191298
LSIP,PP London Sumatra Indonesia Tb,2024,4065995310.0,6819963965.0,0.5961901457055573,3,2.0,5.0,0.4,2.0,9.0,0.2222222222222222,212000.0,6819963965.0,3.108520823394116e-05,297399000000.0,1773053000000.0,0.16773271864969633
MAIN,Malindo Feedmill Tbk.,2022,1282143142.0,2238750000.0,0.572704921049693,3,3.0,5.0,0.6,0.0,7.0,0.0,7390100.0,2238750000.0,0.003300993858179788,5611557000.0,31829214000.0,0.1763020915313837
MAIN,Malindo Feedmill Tbk.,2023,1282143142.0,2238750000.0,0.572704921049693,3,3.0,5.0,0.6,0.0,7.0,0.0,7594600.0,2238750000.0,0.0033923394751535457,48232867000.0,111395613000.0,0.43298713208750866
MAIN,Malindo Feedmill Tbk.,2024,1282143142.0,2238750000.0,0.572704921049693,3,3.0,5.0,0.6,0.0,7.0,0.0,8064600.0,2238750000.0,0.0036022780569514236,150206967000.0,638164550000.0,0.23537341113667312
MIDI,Midi Utama Indonesia Tbk.,2022,2762858500.0,2882353000.0,0.9585427253358627,3,1.0,2.0,0.5,1.0,5.0,0.2,18750000.0,2882353000.0,0.0065051019080591445,95900000000.0,495021000000.0,0.19372915492474058
MIDI,Midi Utama Indonesia Tbk.,2023,31478542363.0,33435294800.0,0.9414764413263077,3,2.0,3.0,0.6666666666666666,2.0,5.0,0.4,224460000.0,33435294800.0,0.006713265169117038,119622000000.0,635940000000.0,0.18810265119350883
MIDI,Midi Utama Indonesia Tbk.,2024,32102092633.0,33435294800.0,0.9601259036304355,3,2.0,3.0,0.6666666666666666,2.0,5.0,0.4,224460000.0,33435294800.0,0.006713265169117038,182698000000.0,658275000000.0,0.2775405415669743
MLBI,Multi Bintang Indonesia Tbk.,2022,1881951000.0,2107000000.0,0.8931898433792121,3,3.0,6.0,0.5,2.0,4.0,0.5,0.0,2107000000.0,0.0,321581000000.0,1246487000000.0,0.2579898546876141
MLBI,Multi Bintang Indonesia Tbk.,2023,1881951000.0,2107000000.0,0.8931898433792121,3,2.0,5.0,0.4,3.0,5.0,0.6,0.0,2107000000.0,0.0,331253000000.0,1397720000000.0,0.23699524940617578
MLBI,Multi Bintang Indonesia Tbk.,2024,1881951000.0,2107000000.0,0.8931898433792121,3,2.0,5.0,0.4,2.0,4.0,0.5,0.0,2107000000.0,0.0,305678000000.0,1447924000000.0,0.21111467176454013
MLPL,Multipolar Tbk.,2022,9109178006.0,15554751787.0,0.5856202741604056,3,2.0,5.0,0.4,0.0,5.0,0.0,72678.0,15569889687.0,4.667855807654317e-06,95297000000.0,634347000000.0,1.6669652415179255
MLPL,Multipolar Tbk.,2023,9109178006.0,15554751787.0,0.5856202741604056,3,2.0,5.0,0.4,0.0,4.0,0.0,7024200.0,15569889687.0,0.0004511399978552719,66636000000.0,291105000000.0,0.6529992019154031
MLPL,Multipolar Tbk.,2024,9109178006.0,15554751787.0,0.5856202741604056,3,1.0,3.0,0.3333333333333333,0.0,4.0,0.0,"  47,446,600 ",15569889687.0,0.003047330517673179,75585000000.0,444442000000.0,0.4305956615969822
MYOR,Mayora Indah Tbk.,2022,13207471425.0,22358699725.0,0.5907083858831151,3,2.0,5.0,0.4,0.0,6.0,0.0,5646110500.0,22358699725.0,0.2525240988717648,535992979785.0,2506057517934.0,0.2138789616556263
MYOR,Mayora Indah Tbk.,2023,13207471425.0,22358699725.0,0.5907083858831151,3,2.0,5.0,0.4,0.0,6.0,0.0,5646110500.0,22358699725.0,0.2525240988717648,848843741591.0,4093715832812.0,0.2073528735891577
MYOR,Mayora Indah Tbk.,2024,13207471425.0,22358699725.0,0.5907083858831151,3,2.0,5.0,0.4,0.0,6.0,0.0,5648519000.0,22358699725.0,0.25263181980498645,813426817929.0,3881094493336.0,0.20958696556491668
PGUN,Pradiksi Gunatama Tbk.,2022,5731887282.0,5737848882.0,0.9989610043550116,3,1.0,2.0,0.5,0.0,2.0,0.0,0.0,5737848882.0,0.0,21628659747.0,188875205126.0,0.11451296496314255
PGUN,Pradiksi Gunatama Tbk.,2023,5332123900.0,5737848882.0,0.9292897058908635,3,1.0,2.0,0.5,0.0,2.0,0.0,15800.0,5737848882.0,2.7536451943803564e-06,31342476545.0,139399064133.0,0.22483993518849085
PGUN,Pradiksi Gunatama Tbk.,2024,5057352000.0,5737848882.0,0.881402090575309,3,1.0,2.0,0.5,0.0,2.0,0.0,15800.0,5737848882.0,2.7536451943803564e-06,22641909865.0,101823072593.0,0.2223652192809251
PSGO,Palma Serasih Tbk.,2022,16640468600.0,18850000000.0,0.8827834801061007,3,1.0,2.0,0.5,3.0,7.0,0.42857142857142855,1600000000.0,18850000000.0,0.08488063660477453,60851959498.0,318534090195.0,0.19103751017904452
PSGO,Palma Serasih Tbk.,2023,16640101300.0,18850000000.0,0.8827639946949603,3,1.0,2.0,0.5,3.0,7.0,0.42857142857142855,1600000000.0,18850000000.0,0.08488063660477453,110383707164.0,659627712050.0,0.167342434448286
PSGO,Palma Serasih Tbk.,2024,16640397200.0,18850000000.0,0.8827796923076923,3,2.0,3.0,0.6666666666666666,3.0,7.0,0.42857142857142855,1600000000.0,18850000000.0,0.08488063660477453,88486017851.0,439133492122.0,0.20150141002321187
ROTI,Nippon Indosari Corpindo Tbk.,2022,6154384961.0,6186488888.0,0.9948106385413101,3,1.0,3.0,0.3333333333333333,3.0,5.0,0.6,0.0,5703234288.0,0.0,140534997731.0,572782719985.0,0.24535481401163833
ROTI,Nippon Indosari Corpindo Tbk.,2023,6137322193.0,6186488888.0,0.992052568768794,3,1.0,3.0,0.3333333333333333,3.0,5.0,0.6,0.0,5703234288.0,0.0,94690264300.0,427990685263.0,0.2212437502975395
ROTI,Nippon Indosari Corpindo Tbk.,2024,6101929323.0,6186488888.0,0.9863315740914008,3,1.0,3.0,0.3333333333333333,3.0,5.0,0.6,0.0,5692579488.0,0.0,106749297728.0,468944996208.0,0.22763713994434323
