No,Kode,Nama Perusahaan,Tahun,X1_KepInstitusional,X2_KomiteAudit,X3_DewanKomInd,X4_KeberagamanGender,X5_KepManajerial,Y_ETR
148,ULTJ,Ultrajaya Milk Industry & Trad,2022,0.7794474957490618,2.0,0.3333333333333333,0.0,0.48751579257868244,0.2509794429471574
149,ULTJ,Ultrajaya Milk Industry & Trad,2023,0.782703528596056,2.0,0.3333333333333333,0.0,0.3910670941570594,0.21304796372285267
150,ULTJ,Ultrajaya Milk Industry & Trad,2024,0.7827771280483906,3.0,0.5,0.0,0.5450138462756426,0.23427715212649547
151,UNSP,Bakrie Sumatera Plantations Tb,2022,0.4604975411000692,3.0,0.3333333333333333,0.0,0.0,0.017439213619275876
152,UNSP,Bakrie Sumatera Plantations Tb,2023,0.407365271254638,3.0,0.3333333333333333,0.0,0.0,0.7248592031159534
153,UNSP,Bakrie Sumatera Plantations Tb,2024,0.4410805632868135,3.0,0.3333333333333333,0.0,0.0,0.5044244945728579
154,UNVR,Unilever Indonesia Tbk.,2022,0.9651050807077326,3.0,0.8333333333333334,0.5,0.0,0.2329264922103182
155,UNVR,Unilever Indonesia Tbk.,2023,0.9699966563302752,3.0,0.8333333333333334,0.45454545454545453,0.0,0.2258890696943957
156,UNVR,Unilever Indonesia Tbk.,2024,0.9599087347313238,3.0,0.8333333333333334,0.3333333333333333,0.0,0.22566329166996135
157,VICI,Victoria Care Indonesia Tbk.,2022,0.8494856887298747,3.0,0.3333333333333333,0.2,0.00024381335718545022,0.26252524124830995
158,VICI,Victoria Care Indonesia Tbk.,2023,0.8494856887298747,3.0,0.4,0.2,0.00024381335718545022,0.24305391463147372
159,VICI,Victoria Care Indonesia Tbk.,2024,0.8494856887298747,3.0,0.4,0.2,0.0032253279666070362,0.2248850341218782
160,WIIM,Wismilak Inti Makmur Tbk.,2022,0.6447466237208469,3.0,0.5,0.0,0.5381022223926452,0.21857042049741165
161,WIIM,Wismilak Inti Makmur Tbk.,2023,0.6429371816141938,3.0,0.5,0.0,0.6314601107258943,0.2206974265236464
162,WIIM,Wismilak Inti Makmur Tbk.,2024,0.6316000000876243,3.0,0.5,0.0,0.6319154914341136,0.20709915457815176
